"model_name","model_level","model_type","group","phenotype","CI_lower_bound","PVE","CI_upper_bound"
"Linear Regression","Level 2","Ensemble","Asian","SBP","15.92%","22.90%","30.13%"
"Linear Regression","Level 2","Ensemble","White","SBP","20.40%","21.72%","23.26%"
"Linear Regression","Level 3","Ensemble","Overall","SBP","21.66%","22.76%","24.01%"
"Linear Regression","Level 3","Ensemble","Black","SBP","15.84%","22.10%","28.14%"
"Linear Regression","Level 3","Ensemble","Asian","SBP","15.36%","22.97%","30.14%"
"Linear Regression","Level 3","Ensemble","White","SBP","20.80%","22.08%","23.62%"
"XGBoost","Level 1","Ensemble","Overall","DBP","10.30%","11.61%","13.09%"
"XGBoost","Level 1","Ensemble","Black","DBP","2.62%","8.21%","12.53%"
"XGBoost","Level 1","Ensemble","Asian","DBP","9.11%","13.85%","18.49%"
"XGBoost","Level 1","Ensemble","White","DBP","11.25%","12.60%","13.90%"
"XGBoost","Level 2","Ensemble","Overall","DBP","10.96%","12.21%","13.66%"
"XGBoost","Level 2","Ensemble","Black","DBP","4.13%","8.66%","12.78%"
"XGBoost","Level 2","Ensemble","Asian","DBP","9.31%","15.23%","21.09%"
"XGBoost","Level 2","Ensemble","White","DBP","11.10%","12.43%","13.90%"
"XGBoost","Level 3","Ensemble","Overall","DBP","11.20%","12.43%","13.81%"
"XGBoost","Level 3","Ensemble","Black","DBP","3.50%","9.23%","14.18%"
"XGBoost","Level 3","Ensemble","Asian","DBP","6.98%","13.55%","20.37%"
"XGBoost","Level 3","Ensemble","White","DBP","11.47%","12.64%","14.20%"
"Linear Regression","Level 1","Ensemble","Overall","DBP","12.06%","13.31%","14.82%"
"Linear Regression","Level 1","Ensemble","Black","DBP","4.15%","9.70%","14.65%"
"Linear Regression","Level 1","Ensemble","Asian","DBP","10.02%","15.62%","21.55%"
"Linear Regression","Level 1","Ensemble","White","DBP","12.03%","13.42%","14.97%"
"Linear Regression","Level 2","Ensemble","Overall","DBP","12.17%","13.44%","14.99%"
"Linear Regression","Level 2","Ensemble","Black","DBP","4.07%","9.70%","14.44%"
"Linear Regression","Level 2","Ensemble","Asian","DBP","9.57%","15.53%","21.22%"
"Linear Regression","Level 2","Ensemble","White","DBP","12.12%","13.55%","15.04%"
"Linear Regression","Level 3","Ensemble","Overall","DBP","12.46%","13.75%","15.27%"
"Linear Regression","Level 3","Ensemble","Black","DBP","5.04%","10.01%","15.22%"
"Linear Regression","Level 3","Ensemble","Asian","DBP","10.74%","16.09%","21.44%"
"Linear Regression","Level 3","Ensemble","White","DBP","12.49%","13.86%","15.34%"
