"model_name","model_type","group","phenotype","CI_lower_bound","PVE","CI_upper_bound"
"XGBoost","Baseline","Overall","DBP","-4.31%","-2.67%","-1.40%"
"XGBoost","Baseline","Black","DBP","-20.82%","-12.88%","-3.84%"
"XGBoost","Baseline","Asian","DBP","-21.43%","-10.77%","-0.63%"
"XGBoost","Baseline","White","DBP","-0.18%","1.14%","2.31%"
"XGBoost","Baseline","Overall","SBP","5.39%","7.19%","9.16%"
"XGBoost","Baseline","Black","SBP","-10.25%","2.55%","12.86%"
"XGBoost","Baseline","Asian","SBP","-8.43%","4.84%","16.42%"
"XGBoost","Baseline","White","SBP","6.22%","8.10%","9.94%"
