"model_name","model_level","model_type","group","phenotype","CI_lower_bound","PVE","CI_upper_bound"
"Linear Regression","Level 2","Ensemble","Asian","DBP","-2.03%","7.05%","15.02%"
"Linear Regression","Level 2","Ensemble","White","DBP","8.12%","9.20%","10.51%"
"Linear Regression","Level 3","Ensemble","Overall","DBP","7.42%","8.79%","10.13%"
"Linear Regression","Level 3","Ensemble","Black","DBP","-8.51%","-1.85%","4.37%"
"Linear Regression","Level 3","Ensemble","Asian","DBP","-1.58%","7.62%","15.55%"
"Linear Regression","Level 3","Ensemble","White","DBP","8.22%","9.50%","10.87%"
"XGBoost","Level 1","Ensemble","Overall","SBP","3.88%","6.08%","8.13%"
"XGBoost","Level 1","Ensemble","Black","SBP","-12.57%","1.26%","12.19%"
"XGBoost","Level 1","Ensemble","Asian","SBP","-7.40%","6.26%","19.64%"
"XGBoost","Level 1","Ensemble","White","SBP","5.92%","8.27%","10.33%"
"XGBoost","Level 2","Ensemble","Overall","SBP","6.77%","8.74%","10.74%"
"XGBoost","Level 2","Ensemble","Black","SBP","-11.18%","2.39%","13.46%"
"XGBoost","Level 2","Ensemble","Asian","SBP","-2.66%","9.50%","21.25%"
"XGBoost","Level 2","Ensemble","White","SBP","7.86%","9.95%","11.71%"
"XGBoost","Level 3","Ensemble","Overall","SBP","7.61%","9.56%","11.64%"
"XGBoost","Level 3","Ensemble","Black","SBP","-9.35%","3.38%","14.22%"
"XGBoost","Level 3","Ensemble","Asian","SBP","-1.61%","10.37%","21.75%"
"XGBoost","Level 3","Ensemble","White","SBP","8.39%","10.47%","12.32%"
"Linear Regression","Level 1","Ensemble","Overall","SBP","12.48%","13.90%","15.52%"
"Linear Regression","Level 1","Ensemble","Black","SBP","2.42%","10.63%","17.65%"
"Linear Regression","Level 1","Ensemble","Asian","SBP","6.49%","14.54%","23.75%"
"Linear Regression","Level 1","Ensemble","White","SBP","11.94%","13.66%","15.21%"
"Linear Regression","Level 2","Ensemble","Overall","SBP","12.82%","14.24%","15.71%"
"Linear Regression","Level 2","Ensemble","Black","SBP","2.18%","10.49%","18.06%"
"Linear Regression","Level 2","Ensemble","Asian","SBP","7.88%","15.37%","23.74%"
"Linear Regression","Level 2","Ensemble","White","SBP","12.12%","13.97%","15.45%"
"Linear Regression","Level 3","Ensemble","Overall","SBP","13.07%","14.61%","16.07%"
"Linear Regression","Level 3","Ensemble","Black","SBP","2.26%","10.54%","17.94%"
"Linear Regression","Level 3","Ensemble","Asian","SBP","8.33%","15.50%","23.83%"
"Linear Regression","Level 3","Ensemble","White","SBP","12.42%","14.33%","15.84%"
