"model_name","model_type","group","phenotype","CI_lower_bound","PVE","CI_upper_bound"
"XGBoost","Baseline","Overall","DBP","9.52%","10.61%","11.83%"
"XGBoost","Baseline","Black","DBP","5.93%","10.33%","15.15%"
"XGBoost","Baseline","Asian","DBP","6.67%","11.55%","16.17%"
"XGBoost","Baseline","White","DBP","9.53%","10.57%","11.75%"
"XGBoost","Baseline","Overall","SBP","18.73%","19.94%","21.16%"
"XGBoost","Baseline","Black","SBP","16.45%","21.17%","26.59%"
"XGBoost","Baseline","Asian","SBP","10.88%","18.26%","25.14%"
"XGBoost","Baseline","White","SBP","17.79%","19.12%","20.56%"
