,group,n_train,n_test,train_evr,test_evr,full_train_evr,full_test_evr
0,overall,43556,18748,0.06928972001567824,0.043943580745071875,0.36038882597716193,0.33142928139771377
1,aa,10914,3674,0.03806600949089711,0.012851256309678871,0.14295203859261596,0.010291909393222443
2,asa,4281,374,0.05473904078305536,0.01200119162044444,0.1626395745583893,0.044146575570093605
3,ea,19853,10823,0.09189751103283161,0.0569735996050178,0.15034614513234623,0.07108351894705978
4,ha,8027,3877,0.07162350708504905,0.04033894685602246,0.1588663451606972,0.07818588936194415
