,group,n_train,n_test,train_evr,test_evr,full_train_evr,full_test_evr
0,overall,43472,18768,0.02731656240543201,0.01990369234747502,0.18225690561848484,0.18996988058519004
1,aa,10889,3657,0.014014709200194653,0.007080106347770232,0.01649504668787871,0.03807995354326599
2,asa,4220,403,0.019581366879154127,0.016593199537530468,0.11118492581160988,0.019235750516665595
3,ea,19786,10877,0.031024389518020667,0.01716291289101457,0.04702564486036842,0.01334966899343748
4,ha,8093,3831,0.04080994231573598,0.039816788268239756,0.06956076311192894,0.10768383755535138
